baryon_density,pressurec2,energy_densityc2
13.233179529779033,3.35293590777074e-07,13.115243465125198
41.84698800001772,2.1379325447717455e-06,41.474043186626254
132.33179529779034,1.3632099424868286e-05,131.1524515268224
418.4698800001772,8.692235645317562e-05,414.7405394699664
1323.3179529779034,0.0005542430271297645,1311.5252013817292
4184.698800001772,0.0035340198500882066,4147.409769565228
13233.179529779034,0.022533971000943863,13115.279909272915
41846.98800001772,0.1436833607651363,41474.275565447744
132331.79529779035,0.9161682226314999,131153.9332439176
418469.8800001772,5.8417634978052515,414749.98734277143
1051115.090847281,25.714409016165163,1041789.5690772887
2640350.993105285,108.21572905638098,2617003.5935926535
6632353.072799961,433.8613186463413,6574025.45551322
8348965.028725957,583.3998145643338,8275670.782911668
16656012.798132326,1591.8971931922779,16510736.237167628
33239378.416481555,4252.084976659235,32952007.570176147
66334010.00001438,11159.920392692906,65767265.058379896
132333900.26359473,28887.110042318407,131220829.51944423
264029348.51674986,74059.27290419267,261853824.63929707
332385454.9634231,96933.78170114371,329668586.5129301
526884491.4235474,180710.8381679596,522654670.7029185
834889914.5499811,336017.8814062307,828330375.4822614
1051195843.984718,458044.84395058645,1043038286.9556028
1218644854.004028,558661.6212485235,1209268366.8163223
1613171814.7320087,761004.5118675278,1600970176.1038802
2556886906.942941,1411075.4214220054,2538148768.559814
4184396454.2597737,2613595.6704954756,4154942044.0471
6632261042.166748,4838923.732895272,6587640135.535591
8061548057.851095,6281060.562964933,8008497573.952688
10149195956.196188,8544106.050151166,10084300775.426632
13236845266.966627,11625841.522407716,13155230816.340227
16661650284.901997,15808038.32960973,16562420316.190813
20976708901.08344,21498932.128269233,20856545403.558002
25407971151.75362,27766680.658956595,25267578003.40086
33240003699.094807,37761798.22736247,33066286681.624577
41843329460.59533,51340071.150479876,41636024535.70595
50507023157.87096,65994400.01603388,50268832239.599106
66323876842.61397,89734190.91102673,66035120541.51289
83509553267.1946,122026962.54435581,83173037576.57681
102724308456.95708,160853723.35392356,102342549848.4522
109308233851.52841,165845735.45801088,108912474643.3799
141706746280.14618,225528013.50243214,141250855015.85593
170259755221.99573,288094565.20699275,169763303130.56778
184563113805.65222,320819977.8893427,184050490238.8966
209725979374.77097,364971551.60993683,209190088550.34058
272998171669.8692,496206003.1462759,272428638764.7347
332397430894.2049,645189831.052703,331826917185.93536
